Stock,Date,Close,Predicted,Probability,Future_Close,Actual,Result
RELIANCE,2025-12-18,1544.4000244140625,DOWN,0.5978479558750733,1559.199951171875,UP,WRONG
RELIANCE,2025-12-19,1565.0999755859375,DOWN,0.6304179665925979,1545.5999755859375,DOWN,CORRECT
RELIANCE,2025-12-22,1575.4000244140625,DOWN,0.6410069570822787,1539.800048828125,DOWN,CORRECT
RELIANCE,2025-12-23,1570.699951171875,DOWN,0.6298152355786888,1570.4000244140625,DOWN,CORRECT
TCS,2025-07-30,3053.60009765625,UP,0.7852516770362854,3032.300048828125,DOWN,WRONG
TCS,2025-07-31,3036.800048828125,UP,0.7952929735183716,3047.0,UP,CORRECT
TCS,2025-08-01,3003.0,UP,0.7925742864608765,3036.39990234375,UP,CORRECT
TCS,2025-08-04,3074.39990234375,UP,0.8009700179100037,3040.800048828125,DOWN,WRONG
TCS,2025-08-05,3063.89990234375,UP,0.7819572687149048,3035.39990234375,DOWN,WRONG
TCS,2025-08-06,3032.300048828125,UP,0.7794926166534424,3036.199951171875,UP,CORRECT
TCS,2025-08-07,3047.0,UP,0.8009700179100037,3022.300048828125,DOWN,WRONG
TCS,2025-08-08,3036.39990234375,UP,0.8009700179100037,3011.199951171875,DOWN,WRONG
TCS,2025-08-11,3040.800048828125,UP,0.7819572687149048,3016.199951171875,DOWN,WRONG
TCS,2025-08-12,3035.39990234375,UP,0.8184347748756409,3098.60009765625,UP,CORRECT
TCS,2025-08-13,3036.199951171875,UP,0.8255128264427185,3102.60009765625,UP,CORRECT
TCS,2025-08-14,3022.300048828125,UP,0.8268475532531738,3054.0,UP,CORRECT
TCS,2025-08-18,3011.199951171875,UP,0.8223223090171814,3140.60009765625,UP,CORRECT
TCS,2025-08-19,3016.199951171875,UP,0.7996006011962891,3157.199951171875,UP,CORRECT
TCS,2025-08-20,3098.60009765625,UP,0.7018289566040039,3093.699951171875,DOWN,WRONG
TCS,2025-08-21,3102.60009765625,UP,0.7117529511451721,3084.699951171875,DOWN,WRONG
TCS,2025-08-22,3054.0,UP,0.6860967874526978,3112.60009765625,UP,CORRECT
TCS,2025-08-25,3140.60009765625,UP,0.6924791932106018,3111.5,DOWN,WRONG
TCS,2025-08-26,3157.199951171875,UP,0.7008330225944519,3097.5,DOWN,WRONG
TCS,2025-08-28,3093.699951171875,UP,0.6862682104110718,3095.699951171875,UP,CORRECT
TCS,2025-08-29,3084.699951171875,UP,0.6892014741897583,3048.300048828125,DOWN,WRONG
TCS,2025-09-01,3112.60009765625,UP,0.6927952170372009,3019.0,DOWN,WRONG
TCS,2025-09-02,3111.5,UP,0.6761711835861206,3049.39990234375,DOWN,WRONG
TCS,2025-09-03,3097.5,UP,0.6751999855041504,3110.0,UP,CORRECT
TCS,2025-09-04,3095.699951171875,UP,0.672034740447998,3124.199951171875,UP,CORRECT
TCS,2025-09-05,3048.300048828125,UP,0.6892014741897583,3133.39990234375,UP,CORRECT
TCS,2025-09-08,3019.0,UP,0.7107391357421875,3111.89990234375,UP,CORRECT
TCS,2025-09-09,3049.39990234375,UP,0.6892014741897583,3145.699951171875,UP,CORRECT
TCS,2025-09-10,3110.0,UP,0.6826914548873901,3172.800048828125,UP,CORRECT
TCS,2025-09-11,3124.199951171875,UP,0.6892014741897583,3176.699951171875,UP,CORRECT
TCS,2025-09-12,3133.39990234375,UP,0.672034740447998,3169.199951171875,UP,CORRECT
TCS,2025-09-15,3111.89990234375,UP,0.6657998561859131,3073.800048828125,DOWN,WRONG
TCS,2025-09-16,3145.699951171875,UP,0.6352363228797913,3062.39990234375,DOWN,WRONG
TCS,2025-09-17,3172.800048828125,UP,0.6250395774841309,3035.39990234375,DOWN,WRONG
TCS,2025-09-18,3176.699951171875,UP,0.6131913065910339,2957.39990234375,DOWN,WRONG
TCS,2025-09-19,3169.199951171875,UP,0.6015787720680237,2899.10009765625,DOWN,WRONG
TCS,2025-09-22,3073.800048828125,UP,0.6386396884918213,2896.10009765625,DOWN,WRONG
TCS,2025-09-23,3062.39990234375,UP,0.6386396884918213,2888.39990234375,DOWN,WRONG
TCS,2025-09-24,3035.39990234375,UP,0.6657998561859131,2914.199951171875,DOWN,WRONG
TCS,2025-09-25,2957.39990234375,UP,0.7555379867553711,2901.89990234375,DOWN,WRONG
TCS,2025-09-26,2899.10009765625,UP,0.7416377067565918,2988.39990234375,UP,CORRECT
TCS,2025-09-29,2896.10009765625,UP,0.7290034890174866,2973.699951171875,UP,CORRECT
TCS,2025-09-30,2888.39990234375,UP,0.7290034890174866,3027.199951171875,UP,CORRECT
TCS,2025-10-01,2914.199951171875,UP,0.6972396373748779,3061.699951171875,UP,CORRECT
TCS,2025-10-03,2901.89990234375,UP,0.7368952035903931,3028.300048828125,UP,CORRECT
TCS,2025-10-06,2988.39990234375,UP,0.5890722274780273,3007.199951171875,UP,CORRECT
TCS,2025-10-07,2973.699951171875,UP,0.6015641093254089,2960.300048828125,DOWN,WRONG
TCS,2025-10-08,3027.199951171875,UP,0.6237866878509521,2969.800048828125,DOWN,WRONG
TCS,2025-10-09,3061.699951171875,UP,0.7089014649391174,2970.699951171875,DOWN,WRONG
TCS,2025-10-10,3028.300048828125,UP,0.7169914841651917,2962.199951171875,DOWN,WRONG
TCS,2025-10-13,3007.199951171875,UP,0.6892014741897583,3015.199951171875,UP,CORRECT
TCS,2025-10-14,2960.300048828125,UP,0.7089014649391174,3006.699951171875,UP,CORRECT
TCS,2025-10-15,2969.800048828125,UP,0.7026852369308472,3073.199951171875,UP,CORRECT
TCS,2025-10-16,2970.699951171875,UP,0.7026852369308472,3063.199951171875,UP,CORRECT
TCS,2025-10-17,2962.199951171875,UP,0.7026852369308472,3084.89990234375,UP,CORRECT
TCS,2025-10-20,3015.199951171875,UP,0.6721817851066589,3057.89990234375,UP,CORRECT
TCS,2025-10-21,3006.699951171875,UP,0.6824032068252563,3057.60009765625,UP,CORRECT
TCS,2025-10-23,3073.199951171875,UP,0.710877537727356,3035.300048828125,DOWN,WRONG
